id,title,authors,year,venue,type,doi,url,research_areas,featured
2025-supporting-resilient-ethical-and-verifia,"Supporting Resilient, Ethical, and Verifiable Anonymous Identities Through Blockchains",ext:Alberto De Marchi|lorenzo-gigli|ext:Andrea Melis|luca-sciullo|ext:Fabio Vitali,2025,International Conference on Security and Cryptography,conference,https://doi.org/10.5220/0013657800003979,https://www.scitepress.org/Papers/2025/136578/136578.pdf,blockchain-iot,0
2025-the-rapid-detection-method-of-lubricant,The Rapid Detection Method of Lubricant Oxidation State,ext:Oleh Velychko|ext:Tetyana Gordiyenko|ext:Sergii Kursin|mattia-forlesi|alfonso-esposito|ivan-zyrianoff|ext:Alessandro Marzani|ext:Giacomo Leonardi|marco-di-felice|ext:Massimo Giordani,2025,IEEE Instrumentation & Measurement Magazine,journal,https://doi.org/10.1109/MIM.2025.11273169,https://ieeexplore.ieee.org/abstract/document/11273168/,iot-interoperability,0
2025-transfer-informed-variational-autoencode,Transfer-Informed Variational Autoencoder for Federated Learning on Imbalanced IoT data,alfonso-esposito|yasmin-moghbelan|ivan-zyrianoff|marco-di-felice,2025,Conference on Computer Communications Workshops,conference,https://doi.org/10.1109/INFOCOMWKSHPS65812.2025.11152960,https://ieeexplore.ieee.org/abstract/document/11152960/,context-awareness,0
2025-zonia-a-zero-trust-oracle-system-for-blo,ZONIA: a zero-trust oracle system for blockchain IoT applications,lorenzo-gigli|ivan-zyrianoff|federico-montori|luca-sciullo|carlos-alberto-kamienski|marco-di-felice,2025,IEEE Internet of Things Journal,journal,https://doi.org/10.1109/JIOT.2025.3591301,https://ieeexplore.ieee.org/abstract/document/11087691/,blockchain-iot,0
2024-poster-advancing-non-terrestrial-network,(poster) advancing non-terrestrial networks for critical scenarios with the rain4c framework,angelo-trotta|alexandre-heideker|ivan-zyrianoff|ext:Giovanni Interdonato|ext:Sara Pizzi,2024,2024 20th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT),conference,https://doi.org/10.1109/DCOSS-IoT61029.2024.00123,https://ieeexplore.ieee.org/abstract/document/10621544/,autonomous-robotic-iot,0
2024-a-smart-motor-rehabilitation-system-base,A smart motor rehabilitation system based on the internet of things and humanoid robotics,yasmin-moghbelan|alfonso-esposito|ivan-zyrianoff|ext:Giulia Spaletta|ext:Stefano Borgo|ext:Claudio Masolo|ext:Fabiana Ballarin|ext:Valeria Seidita|ext:Roberto Toni|ext:Fulvio Barbaro|ext:Giusy Di Conza|ext:Francesca Pia Quartulli|marco-di-felice,2024,Applied Sciences,journal,https://doi.org/10.3390/app142411489,https://www.mdpi.com/2076-3417/14/24/11489,edge-computing|iot-interoperability|autonomous-robotic-iot,0
2024-aaa-a-blockchain-based-architecture-for,"AAA: A blockchain-based architecture for ethical, robust authenticated anonymity",luca-sciullo|ext:Alberto De Marchi|lorenzo-gigli|ext:Monica Palmirani|ext:Fabio Vitali,2024,Conference on Information Technology for Social Good,conference,https://doi.org/10.1145/3677525.3678676,https://dl.acm.org/doi/abs/10.1145/3677525.3678676,blockchain-iot,0
2024-ai-for-people-democratizing-ai,"AI for People, Democratizing AI.",ext:Marta Ziosi|ext:Giovanni Sartor|ext:João Miguel Cunha|angelo-trotta|ext:Philipp Wicke,2024,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",journal,https://doi.org/10.1007/978-3-031-71304-0,https://link.springer.com/content/pdf/10.1007/978-3-031-71304-0.pdf,iot-interoperability,0
2024-an-iot-ai-toolchain-for-structural-healt,An IoT-AI toolchain for structural health monitoring,mattia-forlesi|alfonso-esposito|leonardo-ciabattini|luca-sciullo|marco-di-felice|ext:Soroosh Kamali|ext:Emma Ghini|ext:Stefano Silvestri|ext:Alessandro Marzani,2024,IEEE International Workshop on Measurement and Networking,conference,https://doi.org/10.1109/MN60932.2024.10615472,https://ieeexplore.ieee.org/abstract/document/10615472/,condition-monitoring,0
2024-an-mcs-navigation-system-based-on-road-s,An mcs navigation system based on road surface quality for bicycle riders,federico-montori|ext:Rocco Pastore|luca-sciullo|luciano-bononi|ext:Luca Bedogni,2024,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP61445.2024.00038,https://ieeexplore.ieee.org/abstract/document/10595606/,context-awareness,0
2024-an-over-the-air-software-update-system-f,An over the air software update system for IoT microcontrollers based on WebAssembly,ivan-zyrianoff|luca-sciullo|lorenzo-gigli|angelo-trotta|carlos-alberto-kamienski|marco-di-felice,2024,2024 20th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT),conference,https://doi.org/10.1109/DCOSS-IoT61029.2024.00057,https://ieeexplore.ieee.org/abstract/document/10621564/,edge-computing,0
2024-cache-it-a-distributed-architecture-for,Cache-it: A distributed architecture for proactive edge caching in heterogeneous iot scenarios,ivan-zyrianoff|lorenzo-gigli|federico-montori|luca-sciullo|carlos-alberto-kamienski|marco-di-felice,2024,Ad Hoc Networks,journal,https://doi.org/10.1016/j.adhoc.2024.103413,https://www.sciencedirect.com/science/article/pii/S1570870524000246,edge-computing,0
